character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
症,disease,,,2660,,zhèng / zhēng,sickness + correct,⿸ (top-left-wrap),⿸疒正,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">正</span> <span style=""color:#666"">correct</span>",,RSH RTH RTK,RSH2::L43
痒,itch,,,2662,,yǎng,sickness + sheep,⿸ (top-left-wrap),⿸疒羊,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">羊</span> <span style=""color:#666"">sheep</span>",TH: 癢,RSH RTK,RSH2::L43
痕,trace,,,2672,,hén,sickness + silver,⿸ (top-left-wrap),⿸疒艮,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span>",,RSH RTH RTK,RSH2::L43
痛,ache,,,1295,,tòng,sickness + chop-rack,⿸ (top-left-wrap),⿸疒甬,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">甬</span> <span style=""color:#666"">chop-rack</span>",,RSH RTH RTK,RSH1::L43
痰,phlegm,,,2659,,tán,sickness + inflammation,⿸ (top-left-wrap),⿸疒炎,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">炎</span> <span style=""color:#666"">inflammation</span>",,RSH RTH RTK,RSH2::L43
痴,idiotic,,,2667,,chī,sickness + know,⿸ (top-left-wrap),⿸疒知,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">知</span> <span style=""color:#666"">know</span>",,RSH RTH RTK,RSH2::L43
瘤,tumor,,,2668,,liú,sickness + stay,⿸ (top-left-wrap),⿸疒留,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">留</span> <span style=""color:#666"">stay</span>",,RSH RTH,RSH2::L43
瘦,emaciated,,,2967,,shòu,sickness + cake mixer,⿸ (top-left-wrap),⿸疒叟,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">叟</span> <span style=""color:#666"">cake mixer</span>",JP: 痩,RSH RTH,RSH2::L55
瘫,paralysis,,,2663,,tān,sickness + difficult,⿸ (top-left-wrap),⿸疒难,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">难</span> <span style=""color:#666"">difficult</span>",TH: 癱 | JP: 癱,RSH,RSH2::L43
瘾,addiction,,,2671,,yǐn,sickness + hidden,⿸ (top-left-wrap),⿸疒隐,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">隐</span> <span style=""color:#666"">hidden</span>",TH: 癮 | JP: 癮,RSH,RSH2::L43
癌,cancer,,,2665,,ái,sickness + goods + mountain,⿸ (top-left-wrap),⿸疒嵒,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">品</span> <span style=""color:#666"">goods</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RSH2::L43
癖,mannerism,,,,,,sickness + hot sauce,⿸ (top-left-wrap),⿸疒辟,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">辟</span> <span style=""color:#666"">repudiate</span> <span style=""color:#999"">(alias: hot sauce)</span>",,RTK,
癶,teepee,,,,,,{101} + {102},⿰ (left-right),⿰{101}{102},,,RSH RTH RTK,RSH1::L43 primitive
登,ascend,,,1303,,dēng,table + teepee,⿱ (top-bottom),⿱癶豆,"<span style=""color:#1a5276"">豆</span> <span style=""color:#666"">beans</span> <span style=""color:#999"">(alias: table)</span><br><span style=""color:#1a5276"">癶</span> <span style=""color:#666"">teepee</span>",,RSH RTH RTK,RSH1::L43
白,white,white bird · dove,,34,,bái,sun + a drop of,⿱ (top-bottom),⿱㇒日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RSH1::L03 primitive
百,hundred,,,35,,bǎi,white + one,⿱ (top-bottom),⿱一白,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RSH1::L03
皂,soap,,,36,,zào,white + diced,⿱ (top-bottom),⿱白七,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span><br><span style=""color:#1a5276"">七</span> <span style=""color:#666"">seven</span> <span style=""color:#999"">(alias: diced)</span>",,RSH RTH,RSH1::L03
的,bull's eye,,,70,,de / dí / dì,white bird + ladle,⿰ (left-right),⿰白勺,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird)</span><br><span style=""color:#1a5276"">勺</span> <span style=""color:#666"">ladle</span>",,RSH RTH RTK,RSH1::L04
皆,all,,,459,,jiē,compare + white,⿱ (top-bottom),⿱比白,"<span style=""color:#1a5276"">比</span> <span style=""color:#666"">compare</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span>",,RSH RTH RTK,RSH1::L18
皇,emperor,,,272,,Huáng,king + white bird,⿱ (top-bottom),⿱白王,"<span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span> <span style=""color:#999"">(alias: scepter)</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird)</span>",,RSH RTH RTK,RSH1::L12
皮,covering,,,707,,pí,branch,⿻ (overlaid),⿻{84}⿱丨又,"<span style=""color:#1a5276"">支</span> <span style=""color:#666"">offshoot</span> <span style=""color:#999"">(alias: branch)</span>",,RSH RTH RTK,RSH1::L24
皱,wrinkles,,,2197,,zhòu,hairnet + covering,⿰ (left-right),⿰刍皮,"<span style=""color:#1a5276"">刍</span> <span style=""color:#666"">hairnet</span><br><span style=""color:#1a5276"">皮</span> <span style=""color:#666"">covering</span>",TH: 皺 | JP: 皺,RSH,RSH2::L30
