character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
氣,air,1360,,,qì,air + rice,⿹ (top-right-wrap),⿹气米,"<span style=""color:#1a5276"">气</span> <span style=""color:#666"">air</span><br><span style=""color:#1a5276"">米</span> <span style=""color:#666"">rice</span>",SH: 气 | JP: 気,RTH,RTH1::L50
氧,oxygen,2771,,,yǎng,air + sheep,⿹ (top-right-wrap),⿹气羊,"<span style=""color:#1a5276"">气</span> <span style=""color:#666"">air</span><br><span style=""color:#1a5276"">羊</span> <span style=""color:#666"">sheep</span>",,RSH RTH,RTH2::L50
氫,hydrogen,2774,,,qīng,air + floor + 𡿨 + 𡿨 + 𡿨 + I-beam,⿹ (top-right-wrap),⿹气巠,"<span style=""color:#1a5276"">气</span> <span style=""color:#666"">air</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",SH: 氢,RTH,RTH2::L50
氯,chlorine,2773,,,lǜ,air + snowman,⿹ (top-right-wrap),⿹气录,"<span style=""color:#1a5276"">气</span> <span style=""color:#666"">air</span><br><span style=""color:#1a5276"">录</span> <span style=""color:#666"">record</span> <span style=""color:#999"">(alias: snowman)</span>",,RSH RTH,RTH2::L50
水,water,126,,,shuǐ,walking stick + a drop of,⿰ (left-right),⿰㇇𰛅,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L08 primitive
永,eternity,127,,,yǒng,water + a drop of,,〾⿱丶水,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L08
汁,juice / soup,138,,,zhī,water + needle,⿰ (left-right),⿰氵十,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTH1::L08
求,request,128,,,qiú,snowflake + a drop of + one,⿺ (bottom-left-wrap),⿺⿻一氺丶,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RTH1::L08
汗,sweat,2577,,,hán / hàn,water + dry,⿰ (left-right),⿰氵干,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,RSH RTH RTK,RTH2::L42
江,Yangtze / creek,137,,,jiāng,water + I-beam,⿰ (left-right),⿰氵工,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",,RSH RTH RTK,RTH1::L08
池,pond,479,,,chí,water + scorpion + a drop of,⿰ (left-right),⿰氵也,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">也</span> <span style=""color:#666"">also</span> <span style=""color:#999"">(alias: scorpion)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L20
污,filthy,2874,,,wū,water + snake hook,⿰ (left-right),⿰氵亏,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">亏</span> <span style=""color:#666"">loss</span> <span style=""color:#999"">(alias: snake hook)</span>",JP: 汚,RSH RTH,RTH2::L53
汪,tearful,1579,,,wāng,water + jewel,⿰ (left-right),⿰氵王,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel)</span>",,RSH RTH,RTH2::L12
汰,get rid of / cleanse,1522,,,tài,water + overly,⿰ (left-right),⿰氵太,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">太</span> <span style=""color:#666"">overly</span>",,RSH RTH RTK,RTH2::L08
決,decide,1218,,,jué,water + guillotine,⿰ (left-right),⿰氵夬,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">夬</span> <span style=""color:#666"">guillotine</span>",SH: 决,RTH RTK,RTH1::L41
汽,vapor,1361,,,qì,air + water,⿰ (left-right),⿰氵气,"<span style=""color:#1a5276"">气</span> <span style=""color:#666"">air</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span>",,RSH RTH RTK,RTH1::L50
