character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
厳,stern,,,1936,,eyedropper + eyedropper + dropdrop + cliff + brave,⿱ (top-bottom),⿱𭕄𠪚,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">敢</span> <span style=""color:#666"">brave</span>",TH: 嚴 | SH: 严,RTK,RTK1v5::L53
去,go / gone,,,750,qù,soil + elbow,⿱ (top-bottom),⿱土厶,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",,RSH RTH RTK,RTK1v5::L23
参,participate / visit,,,1720,cān / shēn,St. Bernard dog + elbow + rooster tail,⿳ (top-mid-bottom),⿳厶大彡,"<span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">彡</span> <span style=""color:#666"">rooster tail</span>",TH: 參,RSH RTK,RTK1v5::L45 primitive
又,again / or again,,,696,yòu,,,又,,,RSH RTH RTK,RTK1v5::L23 primitive
叉,fork / forked,,,2914,chā / chá / chǎ,crotch + a drop of,⿴ (surround),⿴又丶,"<span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK3v2::CH03
及,catch up with / reach out,,,688,jí,fist,,及,"<span style=""color:#1a5276"">乃</span> <span style=""color:#666"">only then</span> <span style=""color:#999"">(alias: fist)</span>",,RSH RTH RTK,RTK1v5::L23 primitive
友,friend,,,704,yǒu,by one’s side + crotch,⿸ (top-left-wrap),⿸𠂇又,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",,RSH RTH RTK,RTK1v5::L23
双,pair,,,697,shuāng,crotch,⿰ (left-right),⿰又又,"<span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",TH: 雙,RSH RTK,RTK1v5::L23
反,against / anti-,,,722,fǎn,drag + crotch,⿸ (top-left-wrap),⿸𠂆又,"<span style=""color:#1a5276"">𠂆</span> <span style=""color:#666"">drag</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",,RSH RTH RTK,RTK1v5::L23
収,income,,,1510,,cornucopia + right hand,⿰ (left-right),⿰丩又,"<span style=""color:#1a5276"">丩</span> <span style=""color:#666"">cornucopia</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",TH: 收 | SH: 收,RTK,RTK1v5::L39
叔,uncle,,,718,shū,above + small + right hand,⿰ (left-right),⿰尗又,"<span style=""color:#1a5276"">上</span> <span style=""color:#666"">above</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",,RSH RTH RTK,RTK1v5::L23
取,take,,,819,qǔ,ear + right hand,⿰ (left-right),⿰耳又,"<span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",,RSH RTH RTK,RTK1v5::L25
受,accept,,,735,shòu,birdhouse + crotch,⿳ (top-mid-bottom),⿳爫冖又,"<span style=""color:#1a5276"">囧受－又</span> <span style=""color:#666"">birdhouse</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",,RSH RTH RTK,RTK1v5::L23
叙,recount / confer,,,1660,xù,scale + crotch,⿰ (left-right),⿰余又,"<span style=""color:#1a5276"">余</span> <span style=""color:#666"">excess</span> <span style=""color:#999"">(alias: scale)</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",TH: 敘,RSH RTK,RTK1v5::L43
叛,betray / rebellion,,,2902,pàn,half + against,⿰ (left-right),⿰半反,"<span style=""color:#1a5276"">半</span> <span style=""color:#666"">half</span><br><span style=""color:#1a5276"">反</span> <span style=""color:#666"">against</span>",,RSH RTH RTK,RTK3v2::CH03
叡,sapience,,,2905,,magic wand + crown + floor + eight + umbrella + eye + right hand,⿰ (left-right),⿰睿又,"<span style=""color:#1a5276"">⺊</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">冖</span> <span style=""color:#666"">crown</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">八</span> <span style=""color:#666"">eight</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",TH: 睿 | SH: 睿,RTK,RTK3v2::CH03
叢,thicket / conglomerate,,,2895,cóng,profession + animal horns + clothesline + ear + right hand,⿱ (top-bottom),⿱丵⿸耳又,"<span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span><br><span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",SH: 丛,RTH RTK,RTK3v2::CH03
口,mouth,,,11,kǒu,,,口,,,RSH RTH RTK,RTK1v5::L01
古,ancient / old,,,16,gǔ,ten + mouth,⿱ (top-bottom),⿱十口,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RTK1v5::L02 primitive
